date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:40	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225ececa4d-247b%22	https://michelsinambela.github.io/robots.txt		(from )
13:40:40	23834/23834	---M-Z	200	added ('OK')	text/html	etag:W/%2261666f04-5d1a%22	https://michelsinambela.github.io/	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/index.html	(from )
13:40:40	17259/17259	---M--	200	added ('OK')	image/png	etag:%2261666f04-436b%22	https://michelsinambela.github.io/logo.png	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/logo.png	(from https://michelsinambela.github.io/)
13:40:40	71750/71750	---M-Z	200	added ('OK')	text/css	etag:W/%2261666f04-11846%22	https://michelsinambela.github.io/assets/vendor/animate.css/animate.min.css	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/animate.css/animate.min.css	(from https://michelsinambela.github.io/)
13:40:40	162764/162764	---M-Z	200	added ('OK')	text/css	etag:W/%2261666f04-27bcc%22	https://michelsinambela.github.io/assets/vendor/bootstrap/css/bootstrap.min.css	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/bootstrap/css/bootstrap.min.css	(from https://michelsinambela.github.io/)
13:40:41	65696/65696	---M-Z	200	added ('OK')	text/css	etag:W/%2261666f04-100a0%22	https://michelsinambela.github.io/assets/vendor/bootstrap-icons/bootstrap-icons.css	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/bootstrap-icons/bootstrap-icons.css	(from https://michelsinambela.github.io/)
13:40:41	63781/63781	---M-Z	200	added ('OK')	text/css	etag:W/%2261666f04-f925%22	https://michelsinambela.github.io/assets/vendor/boxicons/css/boxicons.min.css	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/boxicons/css/boxicons.min.css	(from https://michelsinambela.github.io/)
13:40:41	59305/59305	---M-Z	200	added ('OK')	text/css	etag:W/%2261666f04-e7a9%22	https://michelsinambela.github.io/assets/vendor/fontawesome-free/css/all.min.css	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/fontawesome-free/css/all.min.css	(from https://michelsinambela.github.io/)
13:40:41	13785/13785	---M-Z	200	added ('OK')	text/css	etag:W/%2261666f04-35d9%22	https://michelsinambela.github.io/assets/vendor/glightbox/css/glightbox.min.css	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/glightbox/css/glightbox.min.css	(from https://michelsinambela.github.io/)
13:40:41	110438/110438	---M-Z	200	added ('OK')	text/css	etag:W/%2261666f04-1af66%22	https://michelsinambela.github.io/assets/vendor/remixicon/remixicon.css	C:/Users/ITPLN/OneDrive%20-%20ITPLN/Documents/pbo/michelsinambela.github.io/assets/vendor/remixicon/remixicon.css	(from https://michelsinambela.github.io/)
